id,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
7IPEQ3ScOp9cAd3dC7JvDn,0.625,https://api.spotify.com/v1/audio-analysis/7IPEQ3ScOp9cAd3dC7JvDn,0.488,322840,0.675,4.71e-06,5,0.121,-11.261,1,0.0651,136.224,4,https://api.spotify.com/v1/tracks/7IPEQ3ScOp9cAd3dC7JvDn,audio_features,spotify:track:7IPEQ3ScOp9cAd3dC7JvDn,0.718
0TYaiwJB9eLNew2VYxF6i8,0.107,https://api.spotify.com/v1/audio-analysis/0TYaiwJB9eLNew2VYxF6i8,0.539,489760,0.626,0.711,2,0.119,-9.514,1,0.0467,84.956,4,https://api.spotify.com/v1/tracks/0TYaiwJB9eLNew2VYxF6i8,audio_features,spotify:track:0TYaiwJB9eLNew2VYxF6i8,0.375
1gHdnVaBNakuVxPY16Mx6a,0.502,https://api.spotify.com/v1/audio-analysis/1gHdnVaBNakuVxPY16Mx6a,0.376,462867,0.592,1.2e-06,5,0.359,-13.374,0,0.0628,124.804,4,https://api.spotify.com/v1/tracks/1gHdnVaBNakuVxPY16Mx6a,audio_features,spotify:track:1gHdnVaBNakuVxPY16Mx6a,0.533
70Va8NA2Ies98TNa1XuNbl,0.806,https://api.spotify.com/v1/audio-analysis/70Va8NA2Ies98TNa1XuNbl,0.533,384733,0.434,0.907,8,0.102,-19.235,0,0.0301,107.892,4,https://api.spotify.com/v1/tracks/70Va8NA2Ies98TNa1XuNbl,audio_features,spotify:track:70Va8NA2Ies98TNa1XuNbl,0.739
21WlpZiXLelHjdoMUhHfrm,0.819,https://api.spotify.com/v1/audio-analysis/21WlpZiXLelHjdoMUhHfrm,0.351,216707,0.209,0.914,10,0.102,-23.533,0,0.0361,159.504,4,https://api.spotify.com/v1/tracks/21WlpZiXLelHjdoMUhHfrm,audio_features,spotify:track:21WlpZiXLelHjdoMUhHfrm,0.448
14FkDSrkQPko4YMhx6dLI2,0.185,https://api.spotify.com/v1/audio-analysis/14FkDSrkQPko4YMhx6dLI2,0.576,363573,0.422,0.244,0,0.264,-11.277,1,0.0594,115.478,4,https://api.spotify.com/v1/tracks/14FkDSrkQPko4YMhx6dLI2,audio_features,spotify:track:14FkDSrkQPko4YMhx6dLI2,0.57
44MyZZa2SPW0BO9XcmlU9F,0.564,https://api.spotify.com/v1/audio-analysis/44MyZZa2SPW0BO9XcmlU9F,0.617,332373,0.618,0.019,1,0.292,-11.767,1,0.0339,98.924,4,https://api.spotify.com/v1/tracks/44MyZZa2SPW0BO9XcmlU9F,audio_features,spotify:track:44MyZZa2SPW0BO9XcmlU9F,0.849
354gNwpjlW9QKsMPLWdMv5,0.992,https://api.spotify.com/v1/audio-analysis/354gNwpjlW9QKsMPLWdMv5,0.545,180580,0.0442,0.874,8,0.126,-14.903,1,0.0382,100.229,3,https://api.spotify.com/v1/tracks/354gNwpjlW9QKsMPLWdMv5,audio_features,spotify:track:354gNwpjlW9QKsMPLWdMv5,0.34
6f6OQJv9qjqyJq9NHin45n,0.623,https://api.spotify.com/v1/audio-analysis/6f6OQJv9qjqyJq9NHin45n,0.47,394920,0.156,0.187,2,0.104,-17.036,1,0.0399,118.176,4,https://api.spotify.com/v1/tracks/6f6OQJv9qjqyJq9NHin45n,audio_features,spotify:track:6f6OQJv9qjqyJq9NHin45n,0.059
5bV5aNKjf4YelnJQHJ5PEI,0.785,https://api.spotify.com/v1/audio-analysis/5bV5aNKjf4YelnJQHJ5PEI,0.534,154867,0.279,0.0,10,0.102,-13.868,1,0.0926,129.002,4,https://api.spotify.com/v1/tracks/5bV5aNKjf4YelnJQHJ5PEI,audio_features,spotify:track:5bV5aNKjf4YelnJQHJ5PEI,0.539
